kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
卯,536f,1-17-12,,,26,9,5,2400,1,mao3;myo;묘;Mão;ボウ;モウ;う,sign of the hare or rabbit;fourth sign of Chinese zodiac;5-7AM;east;signe de la 4ème branche terrestre;signe du Lapin (zodiaque);5 à 7 heures du matin;Est (90°);signo de la liebre;cuarto signo del zodíaco;conejo,あきら;しげる;い
鵜,9d5c,1-17-13,,,196,9,18,2118,,ti2;ti4;je;제;Đề;テイ;ダイ;う,cormorant;cormorán;pelícano,
窺,7aba,1-17-14,,,116,9,16,,,kui1;gyu;규;Khuy;キ;うかが.う;のぞく,lie in wait;spy on;reconnoiter,
丑,4e11,1-17-15,,,1,9,4,2305,1,chou3;chug;chu;축;추;Sửu;チュウ;うし,sign of the ox or cow;1-3AM;second sign of Chinese zodiac;signe de la 2ème branche terrestre;signe du Boeuf (zodiaque);1 à 3 heures du matin;signo de la vaca;segundo signo del zodíaco;vaca,ひろ
碓,7893,1-17-16,,,112,9,13,2364,,dui4;dae;대;Đối;カク;タイ;たし.か;かく.たる,pestle,う;うす
臼,81fc,1-17-17,,,134,8,6,2048,,jiu4;gu;구;Cữu;キュウ;グ;うす;うすづ.く,mortar;mortier;mortero,
渦,6e26,1-17-18,,,85,8,12,1789,1,wo1;guo1;wa;와;Qua;Oa;カ;うず,whirlpool;eddy;vortex;tourbillon;remous;vortex;remolino de agua;vórtice;redemoinho;turbilhão,
嘘,5618,1-17-19,,,30,,14,2235,,xu1;shi1;heo;허;Hư;キョ;コ;うそ;ふ.く,lie;falsehood;mentira;falsedad,
唄,5504,1-17-20,,,30,8,10,2051,1,bai4;bei5;pae;패;Bái;バイ;うた;うた.う,song;ballad;canción;balada (acompañada de shamisen),
欝,6b1d,1-17-21,,,75,,26,,,yu4;ram;람;Uất;ウツ;ウン;うっ.する;ふさ.ぐ;しげ.る,gloom;depression;melancholy,
蔚,851a,1-17-22,,,140,,14,,,yu4;wei4;ul;wi;울;위;Úy;Uất;ウツ;イ;うち;おとこよもぎ,dense growth,
鰻,9c3b,1-17-23,,,195,,22,,,man2;man;만;Man;マン;バン;うなぎ,eel,
姥,59e5,1-17-24,,,38,9,9,,,mu3;lao3;mo;모;Mỗ;Mụ;ボ;モ;うば,old woman,
厩,53a9,1-17-25,,,27,9,12,,,jiu4;gu;구;Cứu;キュウ;うまや,barn;stable,まや;まら
浦,6d66,1-17-26,,,85,8,10,977,1,pu3;po;포;Phổ;Phố;ホ;うら,bay;creek;inlet;gulf;beach;seacoast;baie;crique;anse;golfe;rivage;côte;plage;bahía;ensenada;golfo;baía;riacho;pequena baía;golfo;praia;costa,
瓜,74dc,1-17-27,,,97,9,6,2459,,gua1;gwa;과;Qua;カ;ケ;うり,melon;melon;melón,う
閏,958f,1-17-28,,,169,9,12,,,run4;ryun;륜;Nhuận;ジュン;うるう,intercalation;illegitimate throne,
噂,5642,1-17-29,,,30,9,15,2298,,zun3;jun;준;Tỗn;Tổn;Ton;Tun;ソン;うわさ,rumor;gossip;hearsay;rumor;cotilleo;habladuría,
云,4e91,1-17-30,,,7,9,4,,,yun2;un;운;Vân;ウン;い.う;ここに,say;decir,
運,904b,1-17-31,,,162,3,12,255,3,yun4;un;운;Vận;ウン;はこ.ぶ,carry;luck;destiny;fate;lot;transport;progress;advance;porter;chance;destin;destinée;sort;progrès;suerte;destino;transportar;carregar;sorte;destino;objetivo;transportar;progresso;avanço,
雲,96f2,1-17-32,,,173,2,12,1256,2,yun2;un;운;Vân;ウン;くも;-ぐも,cloud;nuage;nube;nuvem,き;ずも;のめ
荏,834f,1-17-33,,,140,,9,2096,,ren3;im;임;Nhẫm;ジン;ニン,bean;perilla;herb;soft;pliable,え
餌,990c,1-17-34,,,184,8,14,2277,,er3;i;이;Nhị;ジ;ニ;え;えば;えさ;もち,food;bait;prey;tempting profit;comida;comida para animales;cebo;presa;tentación,
叡,53e1,1-17-35,,,29,9,16,,1,rui4;ye;예;Duệ;エイ;あき.らか,intelligence;imperial;inteligente;angelical;imperial,
営,55b6,1-17-36,,,30,5,12,303,2,ying2;yeong;영;Dinh;Doanh;エイ;いとな.む;いとな.み,camp;perform;build;conduct (business);travail;camp;exécuter;construire;diriger;negocio;campamento;dirigir un negocio;ocupação;acampamento;desempenhar;construção;conduta (negócios),
嬰,5b30,1-17-37,,,38,,17,,,ying1;yeong;영;Anh;エイ;ふ.れる;みどりご;あかご,sharp (music);baby,
影,5f71,1-17-38,,,59,8,15,464,1,ying3;yeong;영;Ảnh;エイ;かげ,shadow;silhouette;phantom;ombre portée;silhouette;fantôme;sombra;silueta;forma;parte contraria;reverso;sombra;silhueta;fantasma,
