kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
歃,6b43,1-61-29,,,76,,13,,,sha4;sab;삽;Sáp;ソウ;コウ;ショウ;すす.る,sip;slurp;suck,
歉,6b49,1-61-30,,,76,,14,,,qian4;gyeom;겸;Khiểm;ケン;カン;あきたりない,insufficiency;lack;shortage,
歐,6b50,1-61-31,,,76,,15,,,ou1;gu;구;Âu;Ẩu;オウ;うた.う;は.く,Europe,
歙,6b59,1-61-32,,,76,,16,,,she4;xi1;xi4;heub;seob;흡;섭;Hấp;Thiệp;キュウ;キョウ;ショウ;す.う,come together;meet;put away;store,
歔,6b54,1-61-33,,,76;4,,16,,,xu1;heo;허;Hư;キョ;すすりな.く,cry,
歛,6b5b,1-61-34,,,76;66,,17,,,lian4;gam;감;Liêm;Liễm;Liệm;Lém;Lẻm;Lẹm;Lượm;レン,tighten,
歟,6b5f,1-61-35,,,76,,17,,,yu2;yeo;여;Dư;ヨ;や;か,interrogative particle,
歡,6b61,1-61-36,,,76,,21,,,huan1;hwan;환;Hoan;カン;よろこ.ぶ,delight;joy,
歸,6b78,1-61-37,,,77;2,,18,,,gui1;gwi;gwe;귀;궤;Quy;キ;かえ.る;かえ.す;おく.る;とつ.ぐ,homecoming;arrive at;lead to;result in,
歹,6b79,1-61-38,,,78,,4,,,dai3;al;dae;알;대;Ngạt;Đãi;ガツ;ガチ;タイ,bare bone;bad;wrong;death radical (n. 78),
歿,6b7f,1-61-39,,,78,,8,,,mo4;mol;몰;Một;ボツ;しぬ,die,
殀,6b80,1-61-40,,,78,,8,,,yao3;yo;요;Yểu;ヨウ;わかじに,dying young,
殄,6b84,1-61-41,,,78,,9,,,tian3;jin;진;Điễn;テン;た.つ;つき.る;つく.す,all;completely,
殃,6b83,1-61-42,,,78,,9,,,yang1;ang;앙;Ương;オウ;ヨウ;わざわい,misfortune;disaster;calamity,
殍,6b8d,1-61-43,,,78,,11,,,piao3;pyo;표;Biễu;ヒョウ;フ;うえじに,dying of starvation,
殘,6b98,1-61-44,,,78,,12,,,can2;jan;잔;Tàn;ザン;のこ.る;のこ.す;そこな.う;のこ.り,leftover;remain;balance,
殕,6b95,1-61-45,,,78,,12,,,fou3;bu;mu;bog;부;무;복;Phẫu;Phủ;フ;ね.る,grow mouldy,
殞,6b9e,1-61-46,,,78,,14,,,yun3;un;운;Vẫn;イン;ウン;おち.る;し.ぬ,fall;die,
殤,6ba4,1-61-47,,,78,,15,,,shang1;sang;상;Thương;ショウ;わかじに,dying at a young age,
殪,6baa,1-61-48,,,78,,16,,,yi4;e;에;Ế;エイ;たお.す,die;bury,
殫,6bab,1-61-49,,,78,,16,,,dan1;dan4;tan;탄;Đàn;Đạn;タン;つき.る,become exhausted;all,
殯,6baf,1-61-50,,,78,,18,,,bin4;bin;빈;Tấn;Thấn;ヒン;かりもがり,lying in state;unburied coffin,
殲,6bb2,1-61-51,,,78,,21,,,jian1;seom;섬;Tiêm;セン;つく.す;ほろぼ.す,massacre,
殱,6bb1,1-61-52,,,78,,19,,,jian1;seom;섬;Tiêm;セン;つく.す;ほろぼ.す,massacre,
